1687683402979|16|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table member cascade constraints|     drop table member cascade constraints
1687859724762|18|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table category (        category_id number(19,0) not null,         name varchar2(255 char),         parent_id number(19,0),         primary key (category_id)     )|     create table category (        category_id number(19,0) not null,         name varchar2(255 char),         parent_id number(19,0),         primary key (category_id)     )
1687859724771|8|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table category_item (        category_id number(19,0) not null,         item_id number(19,0) not null     )|     create table category_item (        category_id number(19,0) not null,         item_id number(19,0) not null     )
1687859724782|10|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table delivery (        delivery_id number(19,0) not null,         city varchar2(255 char),         street varchar2(255 char),         zipcode varchar2(255 char),         status varchar2(255 char),         primary key (delivery_id)     )|     create table delivery (        delivery_id number(19,0) not null,         city varchar2(255 char),         street varchar2(255 char),         zipcode varchar2(255 char),         status varchar2(255 char),         primary key (delivery_id)     )
1687859724798|14|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table item (        dtype varchar2(31 char) not null,         item_id number(19,0) not null,         name varchar2(255 char),         price number(10,0) not null,         stock_quantity number(10,0) not null,         artist varchar2(255 char),         exc varchar2(255 char),         author varchar2(255 char),         isbn varchar2(255 char),         actor varchar2(255 char),         director varchar2(255 char),         primary key (item_id)     )|     create table item (        dtype varchar2(31 char) not null,         item_id number(19,0) not null,         name varchar2(255 char),         price number(10,0) not null,         stock_quantity number(10,0) not null,         artist varchar2(255 char),         exc varchar2(255 char),         author varchar2(255 char),         isbn varchar2(255 char),         actor varchar2(255 char),         director varchar2(255 char),         primary key (item_id)     )
1687859724818|18|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table member (        member_id number(19,0) not null,         city varchar2(255 char),         street varchar2(255 char),         zipcode varchar2(255 char),         username varchar2(255 char),         primary key (member_id)     )|     create table member (        member_id number(19,0) not null,         city varchar2(255 char),         street varchar2(255 char),         zipcode varchar2(255 char),         username varchar2(255 char),         primary key (member_id)     )
1687859724845|25|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table order_item (        order_item_id number(19,0) not null,         count number(10,0) not null,         order_price number(10,0) not null,         item_id number(19,0),         order_id number(19,0),         primary key (order_item_id)     )|     create table order_item (        order_item_id number(19,0) not null,         count number(10,0) not null,         order_price number(10,0) not null,         item_id number(19,0),         order_id number(19,0),         primary key (order_item_id)     )
1687859724860|14|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table orders (        order_id number(19,0) not null,         order_date timestamp,         status varchar2(255 char),         delivery_id number(19,0),         member_id number(19,0),         primary key (order_id)     )|     create table orders (        order_id number(19,0) not null,         order_date timestamp,         status varchar2(255 char),         delivery_id number(19,0),         member_id number(19,0),         primary key (order_id)     )
1687859724883|22|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table category         add constraint FK2y94svpmqttx80mshyny85wqr         foreign key (parent_id)         references category|     alter table category         add constraint FK2y94svpmqttx80mshyny85wqr         foreign key (parent_id)         references category
1687859724897|13|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table category_item         add constraint FKu8b4lwqutcdq3363gf6mlujq         foreign key (item_id)         references item|     alter table category_item         add constraint FKu8b4lwqutcdq3363gf6mlujq         foreign key (item_id)         references item
1687859724911|13|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table category_item         add constraint FKcq2n0opf5shyh84ex1fhukcbh         foreign key (category_id)         references category|     alter table category_item         add constraint FKcq2n0opf5shyh84ex1fhukcbh         foreign key (category_id)         references category
1687859724940|27|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table order_item         add constraint FKija6hjjiit8dprnmvtvgdp6ru         foreign key (item_id)         references item|     alter table order_item         add constraint FKija6hjjiit8dprnmvtvgdp6ru         foreign key (item_id)         references item
1687859724975|34|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table order_item         add constraint FKt4dc2r9nbvbujrljv3e23iibt         foreign key (order_id)         references orders|     alter table order_item         add constraint FKt4dc2r9nbvbujrljv3e23iibt         foreign key (order_id)         references orders
1687859724991|15|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table orders         add constraint FKtkrur7wg4d8ax0pwgo0vmy20c         foreign key (delivery_id)         references delivery|     alter table orders         add constraint FKtkrur7wg4d8ax0pwgo0vmy20c         foreign key (delivery_id)         references delivery
1687859725004|11|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table orders         add constraint FKpktxwhj3x9m4gth5ff6bkqgeb         foreign key (member_id)         references member|     alter table orders         add constraint FKpktxwhj3x9m4gth5ff6bkqgeb         foreign key (member_id)         references member
1687860000886|23|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table category cascade constraints|     drop table category cascade constraints
1687860000898|11|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table category_item cascade constraints|     drop table category_item cascade constraints
1687860000913|14|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table delivery cascade constraints|     drop table delivery cascade constraints
1687860000934|20|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table item cascade constraints|     drop table item cascade constraints
1687860000949|14|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table member cascade constraints|     drop table member cascade constraints
1687860000964|15|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table order_item cascade constraints|     drop table order_item cascade constraints
1687860000975|10|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table orders cascade constraints|     drop table orders cascade constraints
1687860000979|3|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop sequence hibernate_sequence|     drop sequence hibernate_sequence
1687860000985|2|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|create sequence hibernate_sequence start with 1 increment by  1|create sequence hibernate_sequence start with 1 increment by  1
1687860000994|7|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table category (        category_id number(19,0) not null,         name varchar2(255 char),         parent_id number(19,0),         primary key (category_id)     )|     create table category (        category_id number(19,0) not null,         name varchar2(255 char),         parent_id number(19,0),         primary key (category_id)     )
1687860000999|5|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table category_item (        category_id number(19,0) not null,         item_id number(19,0) not null     )|     create table category_item (        category_id number(19,0) not null,         item_id number(19,0) not null     )
1687860001007|6|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table delivery (        delivery_id number(19,0) not null,         city varchar2(255 char),         street varchar2(255 char),         zipcode varchar2(255 char),         status varchar2(255 char),         primary key (delivery_id)     )|     create table delivery (        delivery_id number(19,0) not null,         city varchar2(255 char),         street varchar2(255 char),         zipcode varchar2(255 char),         status varchar2(255 char),         primary key (delivery_id)     )
1687860001017|10|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table item (        dtype varchar2(31 char) not null,         item_id number(19,0) not null,         name varchar2(255 char),         price number(10,0) not null,         stock_quantity number(10,0) not null,         artist varchar2(255 char),         exc varchar2(255 char),         author varchar2(255 char),         isbn varchar2(255 char),         actor varchar2(255 char),         director varchar2(255 char),         primary key (item_id)     )|     create table item (        dtype varchar2(31 char) not null,         item_id number(19,0) not null,         name varchar2(255 char),         price number(10,0) not null,         stock_quantity number(10,0) not null,         artist varchar2(255 char),         exc varchar2(255 char),         author varchar2(255 char),         isbn varchar2(255 char),         actor varchar2(255 char),         director varchar2(255 char),         primary key (item_id)     )
1687860001027|8|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table member (        member_id number(19,0) not null,         city varchar2(255 char),         street varchar2(255 char),         zipcode varchar2(255 char),         username varchar2(255 char),         primary key (member_id)     )|     create table member (        member_id number(19,0) not null,         city varchar2(255 char),         street varchar2(255 char),         zipcode varchar2(255 char),         username varchar2(255 char),         primary key (member_id)     )
1687860001036|9|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table order_item (        order_item_id number(19,0) not null,         count number(10,0) not null,         order_price number(10,0) not null,         item_id number(19,0),         order_id number(19,0),         primary key (order_item_id)     )|     create table order_item (        order_item_id number(19,0) not null,         count number(10,0) not null,         order_price number(10,0) not null,         item_id number(19,0),         order_id number(19,0),         primary key (order_item_id)     )
1687860001044|8|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table orders (        order_id number(19,0) not null,         order_date timestamp,         status varchar2(255 char),         delivery_id number(19,0),         member_id number(19,0),         primary key (order_id)     )|     create table orders (        order_id number(19,0) not null,         order_date timestamp,         status varchar2(255 char),         delivery_id number(19,0),         member_id number(19,0),         primary key (order_id)     )
1687860001054|8|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table category         add constraint FK2y94svpmqttx80mshyny85wqr         foreign key (parent_id)         references category|     alter table category         add constraint FK2y94svpmqttx80mshyny85wqr         foreign key (parent_id)         references category
1687860001061|7|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table category_item         add constraint FKu8b4lwqutcdq3363gf6mlujq         foreign key (item_id)         references item|     alter table category_item         add constraint FKu8b4lwqutcdq3363gf6mlujq         foreign key (item_id)         references item
1687860001069|6|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table category_item         add constraint FKcq2n0opf5shyh84ex1fhukcbh         foreign key (category_id)         references category|     alter table category_item         add constraint FKcq2n0opf5shyh84ex1fhukcbh         foreign key (category_id)         references category
1687860001078|8|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table order_item         add constraint FKija6hjjiit8dprnmvtvgdp6ru         foreign key (item_id)         references item|     alter table order_item         add constraint FKija6hjjiit8dprnmvtvgdp6ru         foreign key (item_id)         references item
1687860001084|6|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table order_item         add constraint FKt4dc2r9nbvbujrljv3e23iibt         foreign key (order_id)         references orders|     alter table order_item         add constraint FKt4dc2r9nbvbujrljv3e23iibt         foreign key (order_id)         references orders
1687860001092|7|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table orders         add constraint FKtkrur7wg4d8ax0pwgo0vmy20c         foreign key (delivery_id)         references delivery|     alter table orders         add constraint FKtkrur7wg4d8ax0pwgo0vmy20c         foreign key (delivery_id)         references delivery
1687860001098|5|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table orders         add constraint FKpktxwhj3x9m4gth5ff6bkqgeb         foreign key (member_id)         references member|     alter table orders         add constraint FKpktxwhj3x9m4gth5ff6bkqgeb         foreign key (member_id)         references member
1687956291236|34|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table category cascade constraints|     drop table category cascade constraints
1687956291251|13|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table category_item cascade constraints|     drop table category_item cascade constraints
1687956291262|10|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table delivery cascade constraints|     drop table delivery cascade constraints
1687956291278|15|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table item cascade constraints|     drop table item cascade constraints
1687956291290|11|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table member cascade constraints|     drop table member cascade constraints
1687956291304|14|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table order_item cascade constraints|     drop table order_item cascade constraints
1687956291314|9|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table orders cascade constraints|     drop table orders cascade constraints
1687956291319|4|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop sequence hibernate_sequence|     drop sequence hibernate_sequence
1687956291325|2|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|create sequence hibernate_sequence start with 1 increment by  1|create sequence hibernate_sequence start with 1 increment by  1
1687956291377|52|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table category (        category_id number(19,0) not null,         name varchar2(255 char),         parent_id number(19,0),         primary key (category_id)     )|     create table category (        category_id number(19,0) not null,         name varchar2(255 char),         parent_id number(19,0),         primary key (category_id)     )
1687956291382|4|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table category_item (        category_id number(19,0) not null,         item_id number(19,0) not null     )|     create table category_item (        category_id number(19,0) not null,         item_id number(19,0) not null     )
1687956291390|7|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table delivery (        delivery_id number(19,0) not null,         city varchar2(255 char),         street varchar2(255 char),         zipcode varchar2(255 char),         status varchar2(255 char),         primary key (delivery_id)     )|     create table delivery (        delivery_id number(19,0) not null,         city varchar2(255 char),         street varchar2(255 char),         zipcode varchar2(255 char),         status varchar2(255 char),         primary key (delivery_id)     )
1687956291401|10|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table item (        dtype varchar2(31 char) not null,         item_id number(19,0) not null,         name varchar2(255 char),         price number(10,0) not null,         stock_quantity number(10,0) not null,         artist varchar2(255 char),         exc varchar2(255 char),         author varchar2(255 char),         isbn varchar2(255 char),         actor varchar2(255 char),         director varchar2(255 char),         primary key (item_id)     )|     create table item (        dtype varchar2(31 char) not null,         item_id number(19,0) not null,         name varchar2(255 char),         price number(10,0) not null,         stock_quantity number(10,0) not null,         artist varchar2(255 char),         exc varchar2(255 char),         author varchar2(255 char),         isbn varchar2(255 char),         actor varchar2(255 char),         director varchar2(255 char),         primary key (item_id)     )
1687956291410|8|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table member (        member_id number(19,0) not null,         city varchar2(255 char),         street varchar2(255 char),         zipcode varchar2(255 char),         username varchar2(255 char),         primary key (member_id)     )|     create table member (        member_id number(19,0) not null,         city varchar2(255 char),         street varchar2(255 char),         zipcode varchar2(255 char),         username varchar2(255 char),         primary key (member_id)     )
1687956291419|8|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table order_item (        order_item_id number(19,0) not null,         count number(10,0) not null,         order_price number(10,0) not null,         item_id number(19,0),         order_id number(19,0),         primary key (order_item_id)     )|     create table order_item (        order_item_id number(19,0) not null,         count number(10,0) not null,         order_price number(10,0) not null,         item_id number(19,0),         order_id number(19,0),         primary key (order_item_id)     )
1687956291425|6|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table orders (        order_id number(19,0) not null,         order_date timestamp,         status varchar2(255 char),         delivery_id number(19,0),         member_id number(19,0),         primary key (order_id)     )|     create table orders (        order_id number(19,0) not null,         order_date timestamp,         status varchar2(255 char),         delivery_id number(19,0),         member_id number(19,0),         primary key (order_id)     )
1687956291439|14|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table category         add constraint FK2y94svpmqttx80mshyny85wqr         foreign key (parent_id)         references category|     alter table category         add constraint FK2y94svpmqttx80mshyny85wqr         foreign key (parent_id)         references category
1687956291446|6|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table category_item         add constraint FKu8b4lwqutcdq3363gf6mlujq         foreign key (item_id)         references item|     alter table category_item         add constraint FKu8b4lwqutcdq3363gf6mlujq         foreign key (item_id)         references item
1687956291453|5|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table category_item         add constraint FKcq2n0opf5shyh84ex1fhukcbh         foreign key (category_id)         references category|     alter table category_item         add constraint FKcq2n0opf5shyh84ex1fhukcbh         foreign key (category_id)         references category
1687956291464|10|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table order_item         add constraint FKija6hjjiit8dprnmvtvgdp6ru         foreign key (item_id)         references item|     alter table order_item         add constraint FKija6hjjiit8dprnmvtvgdp6ru         foreign key (item_id)         references item
1687956291470|6|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table order_item         add constraint FKt4dc2r9nbvbujrljv3e23iibt         foreign key (order_id)         references orders|     alter table order_item         add constraint FKt4dc2r9nbvbujrljv3e23iibt         foreign key (order_id)         references orders
1687956291478|7|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table orders         add constraint FKtkrur7wg4d8ax0pwgo0vmy20c         foreign key (delivery_id)         references delivery|     alter table orders         add constraint FKtkrur7wg4d8ax0pwgo0vmy20c         foreign key (delivery_id)         references delivery
1687956291484|5|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table orders         add constraint FKpktxwhj3x9m4gth5ff6bkqgeb         foreign key (member_id)         references member|     alter table orders         add constraint FKpktxwhj3x9m4gth5ff6bkqgeb         foreign key (member_id)         references member
1687956293132|2|rollback|connection 3|url jdbc:oracle:thin:@localhost:1521:xe||
1687956293261|0|rollback|connection 4|url jdbc:oracle:thin:@localhost:1521:xe||
1687956334294|13|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table category cascade constraints|     drop table category cascade constraints
1687956334304|9|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table category_item cascade constraints|     drop table category_item cascade constraints
1687956334316|11|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table delivery cascade constraints|     drop table delivery cascade constraints
1687956334331|14|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table item cascade constraints|     drop table item cascade constraints
1687956334343|11|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table member cascade constraints|     drop table member cascade constraints
1687956334357|13|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table order_item cascade constraints|     drop table order_item cascade constraints
1687956334367|9|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table orders cascade constraints|     drop table orders cascade constraints
1687956334371|3|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop sequence hibernate_sequence|     drop sequence hibernate_sequence
1687956334375|1|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|create sequence hibernate_sequence start with 1 increment by  1|create sequence hibernate_sequence start with 1 increment by  1
1687956334383|7|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table category (        category_id number(19,0) not null,         name varchar2(255 char),         parent_id number(19,0),         primary key (category_id)     )|     create table category (        category_id number(19,0) not null,         name varchar2(255 char),         parent_id number(19,0),         primary key (category_id)     )
1687956334390|6|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table category_item (        category_id number(19,0) not null,         item_id number(19,0) not null     )|     create table category_item (        category_id number(19,0) not null,         item_id number(19,0) not null     )
1687956334397|6|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table delivery (        delivery_id number(19,0) not null,         city varchar2(255 char),         street varchar2(255 char),         zipcode varchar2(255 char),         status varchar2(255 char),         primary key (delivery_id)     )|     create table delivery (        delivery_id number(19,0) not null,         city varchar2(255 char),         street varchar2(255 char),         zipcode varchar2(255 char),         status varchar2(255 char),         primary key (delivery_id)     )
1687956334406|8|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table item (        dtype varchar2(31 char) not null,         item_id number(19,0) not null,         name varchar2(255 char),         price number(10,0) not null,         stock_quantity number(10,0) not null,         artist varchar2(255 char),         exc varchar2(255 char),         author varchar2(255 char),         isbn varchar2(255 char),         actor varchar2(255 char),         director varchar2(255 char),         primary key (item_id)     )|     create table item (        dtype varchar2(31 char) not null,         item_id number(19,0) not null,         name varchar2(255 char),         price number(10,0) not null,         stock_quantity number(10,0) not null,         artist varchar2(255 char),         exc varchar2(255 char),         author varchar2(255 char),         isbn varchar2(255 char),         actor varchar2(255 char),         director varchar2(255 char),         primary key (item_id)     )
1687956334412|6|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table member (        member_id number(19,0) not null,         city varchar2(255 char),         street varchar2(255 char),         zipcode varchar2(255 char),         username varchar2(255 char),         primary key (member_id)     )|     create table member (        member_id number(19,0) not null,         city varchar2(255 char),         street varchar2(255 char),         zipcode varchar2(255 char),         username varchar2(255 char),         primary key (member_id)     )
1687956334420|7|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table order_item (        order_item_id number(19,0) not null,         count number(10,0) not null,         order_price number(10,0) not null,         item_id number(19,0),         order_id number(19,0),         primary key (order_item_id)     )|     create table order_item (        order_item_id number(19,0) not null,         count number(10,0) not null,         order_price number(10,0) not null,         item_id number(19,0),         order_id number(19,0),         primary key (order_item_id)     )
1687956334427|6|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table orders (        order_id number(19,0) not null,         order_date timestamp,         status varchar2(255 char),         delivery_id number(19,0),         member_id number(19,0),         primary key (order_id)     )|     create table orders (        order_id number(19,0) not null,         order_date timestamp,         status varchar2(255 char),         delivery_id number(19,0),         member_id number(19,0),         primary key (order_id)     )
1687956334435|8|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table category         add constraint FK2y94svpmqttx80mshyny85wqr         foreign key (parent_id)         references category|     alter table category         add constraint FK2y94svpmqttx80mshyny85wqr         foreign key (parent_id)         references category
1687956334442|6|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table category_item         add constraint FKu8b4lwqutcdq3363gf6mlujq         foreign key (item_id)         references item|     alter table category_item         add constraint FKu8b4lwqutcdq3363gf6mlujq         foreign key (item_id)         references item
1687956334449|6|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table category_item         add constraint FKcq2n0opf5shyh84ex1fhukcbh         foreign key (category_id)         references category|     alter table category_item         add constraint FKcq2n0opf5shyh84ex1fhukcbh         foreign key (category_id)         references category
1687956334457|7|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table order_item         add constraint FKija6hjjiit8dprnmvtvgdp6ru         foreign key (item_id)         references item|     alter table order_item         add constraint FKija6hjjiit8dprnmvtvgdp6ru         foreign key (item_id)         references item
1687956334463|6|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table order_item         add constraint FKt4dc2r9nbvbujrljv3e23iibt         foreign key (order_id)         references orders|     alter table order_item         add constraint FKt4dc2r9nbvbujrljv3e23iibt         foreign key (order_id)         references orders
1687956334471|7|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table orders         add constraint FKtkrur7wg4d8ax0pwgo0vmy20c         foreign key (delivery_id)         references delivery|     alter table orders         add constraint FKtkrur7wg4d8ax0pwgo0vmy20c         foreign key (delivery_id)         references delivery
1687956334477|5|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     alter table orders         add constraint FKpktxwhj3x9m4gth5ff6bkqgeb         foreign key (member_id)         references member|     alter table orders         add constraint FKpktxwhj3x9m4gth5ff6bkqgeb         foreign key (member_id)         references member
1687956336052|0|rollback|connection 3|url jdbc:oracle:thin:@localhost:1521:xe||
1687956336165|0|rollback|connection 4|url jdbc:oracle:thin:@localhost:1521:xe||
1687956540103|63|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table category cascade constraints|     drop table category cascade constraints
1687956540125|20|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table category_item cascade constraints|     drop table category_item cascade constraints
1687956540152|25|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table delivery cascade constraints|     drop table delivery cascade constraints
1687956540178|27|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table item cascade constraints|     drop table item cascade constraints
1687956540207|28|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table member cascade constraints|     drop table member cascade constraints
1687956540229|21|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table order_item cascade constraints|     drop table order_item cascade constraints
1687956540247|17|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop table orders cascade constraints|     drop table orders cascade constraints
1687956540254|6|statement|connection 1|url jdbc:oracle:thin:@localhost:1521:xe|     drop sequence hibernate_sequence|     drop sequence hibernate_sequence
1687956540261|2|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|create sequence hibernate_sequence start with 1 increment by  1|create sequence hibernate_sequence start with 1 increment by  1
1687956540278|16|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table category (        category_id number(19,0) not null,         name varchar2(255 char),         parent_id number(19,0),         primary key (category_id)     )|     create table category (        category_id number(19,0) not null,         name varchar2(255 char),         parent_id number(19,0),         primary key (category_id)     )
1687956540289|11|statement|connection 2|url jdbc:oracle:thin:@localhost:1521:xe|     create table category_item (        category_id number(19,0) not null,         item_id number(19,0) not null     )|     create table category_item (        category_id number(19,0) not null,         item_id number(19,0) not null     )
